,precision,recall,f1-score,support
KFC,1.0,1.0,1.0,21.0
KIMS,1.0,1.0,1.0,20.0
KSEB,1.0,1.0,1.0,13.0
Kabir,1.0,1.0,1.0,5.0
Kaka,1.0,1.0,1.0,5.0
Kaki,1.0,1.0,1.0,6.0
Karims,1.0,1.0,1.0,17.0
Karthik,1.0,1.0,1.0,4.0
Kartikeya,1.0,1.0,1.0,6.0
Kavita,1.0,1.0,1.0,6.0
Keventers,1.0,1.0,1.0,14.0
Khan Academy,1.0,0.9545454545454546,0.9767441860465116,22.0
Kindle Unlimited,1.0,1.0,1.0,22.0
Kiran,1.0,1.0,1.0,5.0
Kokilaben,1.0,1.0,1.0,21.0
Kolkata Municipal,1.0,1.0,1.0,13.0
Komal,1.0,1.0,1.0,4.0
Kotak EMI,1.0,1.0,1.0,18.0
Krishna,1.0,1.0,1.0,5.0
Kuber,1.0,1.0,1.0,5.0
Kurlon,1.0,1.0,1.0,21.0
Kusum,1.0,1.0,1.0,6.0
Kwality Walls,1.0,1.0,1.0,15.0
LT Finance,1.0,1.0,1.0,23.0
La Pinoz,1.0,1.0,1.0,22.0
Lakshman,1.0,1.0,1.0,4.0
Lakshmi,1.0,1.0,1.0,6.0
Lalit,1.0,1.0,1.0,17.0
Leela,1.0,1.0,1.0,19.0
Lemon Tree,1.0,1.0,1.0,16.0
Lemon Tree Premier,1.0,1.0,1.0,15.0
Levis,1.0,1.0,1.0,15.0
Liberty,1.0,1.0,1.0,20.0
Licious,1.0,1.0,1.0,15.0
Lifestyle,1.0,1.0,1.0,21.0
Lilavati,1.0,1.0,1.0,13.0
Limeroad,1.0,1.0,1.0,13.0
LinkedIn Premium,1.0,1.0,1.0,21.0
Livspace,1.0,1.0,1.0,19.0
Louis Philippe,1.0,1.0,1.0,13.0
Lunchbox,1.0,1.0,1.0,22.0
MAAC,1.0,1.0,1.0,15.0
MESCOM,1.0,1.0,1.0,15.0
MRPL,1.0,1.0,1.0,20.0
MSEDCL,1.0,1.0,1.0,24.0
MTR,1.0,1.0,1.0,16.0
MX Player,1.0,1.0,1.0,22.0
Maa,1.0,1.0,1.0,3.0
Madhu,1.0,1.0,1.0,5.0
MagicBricks,1.0,1.0,1.0,17.0
Mahanagar Gas,1.0,1.0,1.0,34.0
Mahesh,1.0,1.0,1.0,4.0
Mahindra Finance,1.0,1.0,1.0,17.0
Mainland China,1.0,1.0,1.0,14.0
Makaan,1.0,1.0,1.0,15.0
MakeMyTrip,1.0,1.0,1.0,33.0
Mama,1.0,1.0,1.0,8.0
Mami,1.0,1.0,1.0,7.0
Manappuram,1.0,1.0,1.0,20.0
Mango,1.0,1.0,1.0,17.0
Manipal,1.0,1.0,1.0,18.0
Manju,1.0,1.0,1.0,5.0
Manoj,1.0,1.0,1.0,5.0
Marks Spencer,1.0,1.0,1.0,19.0
Marriott,1.0,1.0,1.0,20.0
Masai School,1.0,1.0,1.0,16.0
Mata,1.0,1.0,1.0,4.0
Mate,0.0,0.0,0.0,0.0
Maternal Grandfather,1.0,1.0,1.0,5.0
Maternal Grandmother,1.0,1.0,1.0,5.0
Mausa,1.0,1.0,1.0,5.0
Mausi,1.0,1.0,1.0,10.0
Max Fashion,1.0,1.0,1.0,21.0
Max Healthcare,1.0,1.0,1.0,16.0
McDonalds,1.0,1.0,1.0,14.0
Me,1.0,1.0,1.0,1.0
MedPlus,1.0,1.0,1.0,13.0
Medanta,1.0,1.0,1.0,17.0
Meera,1.0,1.0,1.0,5.0
Meesho,1.0,1.0,1.0,19.0
Mega Cabs,1.0,1.0,1.0,16.0
Meru Cabs,1.0,1.0,1.0,13.0
Metro,1.0,1.0,1.0,19.0
Metro Shoes,1.0,1.0,1.0,17.0
Metropolis,1.0,1.0,1.0,14.0
Milkbasket,1.0,1.0,1.0,19.0
Mira,0.8,1.0,0.8888888888888888,4.0
Mirchi,1.0,1.0,1.0,15.0
Mohit,1.0,1.0,1.0,4.0
Mojo Pizza,1.0,1.0,1.0,14.0
Mom,1.0,1.0,1.0,6.0
More,1.0,1.0,1.0,16.0
Mother,1.0,1.0,1.0,4.0
Mother Dairy,1.0,1.0,1.0,14.0
Mother in Law,1.0,1.0,1.0,6.0
Motherhood,1.0,1.0,1.0,21.0
Mukesh,1.0,1.0,1.0,5.0
Mummy,1.0,1.0,1.0,6.0
Muthoot Finance,1.0,1.0,1.0,19.0
Myles,1.0,1.0,1.0,22.0
Myntra,1.0,1.0,1.0,13.0
Myra,1.0,1.0,1.0,5.0
Myself,0.0,0.0,0.0,1.0
NHPC,1.0,1.0,1.0,20.0
NID,1.0,1.0,1.0,22.0
NIFT,1.0,1.0,1.0,14.0
NIIT,1.0,1.0,1.0,16.0
NRL,1.0,1.0,1.0,20.0
NTPC,1.0,1.0,1.0,22.0
Namma Yatri,1.0,1.0,1.0,17.0
Nana,1.0,1.0,1.0,4.0
Nanad,0.8333333333333334,1.0,0.9090909090909091,5.0
Nani,1.0,1.0,1.0,6.0
Narayana Health,1.0,1.0,1.0,17.0
Natural Ice Cream,1.0,1.0,1.0,16.0
Naturals,1.0,1.0,1.0,23.0
Nature Fresh,1.0,1.0,1.0,20.0
Natures Basket,1.0,1.0,1.0,22.0
Naveen,1.0,1.0,1.0,4.0
Nayara,1.0,1.0,1.0,17.0
Nayara Energy,1.0,1.0,1.0,15.0
Neha,1.0,1.0,1.0,4.0
Neighbor,0.0,0.0,0.0,0.0
Nephew,1.0,1.0,1.0,6.0
NestAway,1.0,1.0,1.0,19.0
Netflix,1.0,1.0,1.0,38.0
Netmeds,1.0,1.0,1.0,14.0
Newton School,1.0,1.0,1.0,19.0
Niece,1.0,1.0,1.0,5.0
Nike,1.0,1.0,1.0,21.0
Nilkamal,1.0,1.0,1.0,16.0
Nisha,1.0,1.0,1.0,5.0
Nitin,1.0,1.0,1.0,5.0
NoBroker,1.0,1.0,1.0,21.0
Notion,1.0,1.0,1.0,19.0
Nova,1.0,1.0,1.0,20.0
Numaligarh,1.0,1.0,1.0,19.0
Nykaa,1.0,1.0,1.0,15.0
ONGC,1.0,1.0,1.0,19.0
OYO,1.0,1.0,1.0,16.0
Oberoi,1.0,1.0,1.0,23.0
Oil India,1.0,1.0,1.0,13.0
Ola,1.0,1.0,1.0,16.0
Ola Auto,1.0,1.0,1.0,23.0
Ola Bike,1.0,1.0,1.0,21.0
Olive Bar,1.0,1.0,1.0,15.0
Only,1.0,1.0,1.0,18.0
Organic India,1.0,1.0,1.0,16.0
Ovenstory,1.0,1.0,1.0,22.0
Overtime,1.0,1.0,1.0,20.0
Own,0.0,0.0,0.0,1.0
Oyo Life,1.0,1.0,1.0,18.0
PCMC,1.0,1.0,1.0,17.0
PVR,1.0,1.0,1.0,15.0
Padma,1.0,1.0,1.0,4.0
Pal,0.0,0.0,0.0,1.0
Pandora,1.0,1.0,1.0,17.0
Pankaj,1.0,1.0,1.0,5.0
Pantaloons,1.0,1.0,1.0,14.0
Papa,1.0,1.0,1.0,5.0
Paradise,1.0,1.0,1.0,18.0
Pari,1.0,1.0,1.0,5.0
Parle,1.0,1.0,1.0,17.0
Partner,1.0,1.0,1.0,6.0
Parvati,1.0,1.0,1.0,5.0
Patanjali,1.0,1.0,1.0,14.0
Pati,1.0,1.0,1.0,5.0
Patni,1.0,1.0,1.0,3.0
Paytm Movies,1.0,1.0,1.0,20.0
Pearl Academy,1.0,1.0,1.0,14.0
Pension,1.0,1.0,1.0,16.0
PeoplePerHour,1.0,1.0,1.0,20.0
Pepperfry,1.0,1.0,1.0,23.0
Personal,0.8125,1.0,0.896551724137931,13.0
Pesto,1.0,1.0,1.0,23.0
Peter England,1.0,1.0,1.0,17.0
Petronet,1.0,1.0,1.0,20.0
PharmEasy,1.0,1.0,1.0,18.0
Pita,1.0,1.0,1.0,5.0
Pizza Corner,1.0,1.0,1.0,20.0
Pizza Hut,1.0,1.0,1.0,20.0
Pooja,1.0,1.0,1.0,6.0
Poonam,1.0,1.0,1.0,4.0
Poonawalla Fincorp,1.0,1.0,1.0,13.0
Popeyes,1.0,1.0,1.0,20.0
Portea,1.0,1.0,1.0,16.0
Power Grid,1.0,1.0,1.0,20.0
Practo,1.0,1.0,1.0,21.0
Praveen,1.0,1.0,1.0,5.0
Preeti,1.0,1.0,1.0,5.0
Prime Video,1.0,1.0,1.0,22.0
Pristyn Care,1.0,1.0,1.0,19.0
Priya,1.0,1.0,1.0,3.0
Project Payment,1.0,1.0,1.0,16.0
Puma,0.95,1.0,0.9743589743589743,19.0
Putra,1.0,1.0,1.0,6.0
Putri,1.0,1.0,1.0,5.0
Quick Ride,1.0,1.0,1.0,12.0
RSU,1.0,1.0,1.0,19.0
Radha,1.0,1.0,1.0,4.0
Radio City,1.0,1.0,1.0,17.0
Radio Mirchi,1.0,1.0,1.0,19.0
Radio Nasha,1.0,1.0,1.0,17.0
Radio One,1.0,1.0,1.0,18.0
Radisson,1.0,1.0,1.0,16.0
Rahul,1.0,1.0,1.0,4.0
Rainbow,1.0,1.0,1.0,23.0
Rajesh,1.0,1.0,1.0,5.0
Rajiv,1.0,1.0,1.0,5.0
Ram,1.0,1.0,1.0,3.0
Ramesh,1.0,1.0,1.0,5.0
Rapido,1.0,1.0,1.0,22.0
Rapido Bike,1.0,1.0,1.0,15.0
Ravi,1.0,1.0,1.0,4.0
Raymond,1.0,1.0,1.0,16.0
Rebel Foods,1.0,1.0,1.0,22.0
Red FM,1.0,1.0,1.0,16.0
Red Fox,1.0,1.0,1.0,18.0
Red Tape,1.0,1.0,1.0,18.0
RedBus,1.0,1.0,1.0,16.0
Reebok,1.0,1.0,1.0,20.0
Refund,1.0,1.0,1.0,20.0
Rekha,1.0,1.0,1.0,6.0
Relative,0.0,0.0,0.0,0.0
Reliance Fresh,1.0,1.0,1.0,12.0
Reliance Petroleum,1.0,1.0,1.0,16.0
Reliance Trends,1.0,1.0,1.0,22.0
Rental,1.0,1.0,1.0,14.0
Rentickle,1.0,1.0,1.0,18.0
Rentomojo,1.0,1.0,1.0,15.0
Residence Inn,1.0,1.0,1.0,19.0
Retainer,1.0,1.0,1.0,18.0
Revv,1.0,1.0,1.0,22.0
Reyansh,1.0,1.0,1.0,5.0
Ritu,1.0,1.0,1.0,5.0
Riya,1.0,1.0,1.0,4.0
Rohit,1.0,1.0,1.0,5.0
Roommate,0.0,0.0,0.0,0.0
Royalty,1.0,1.0,1.0,14.0
SBI EMI,1.0,0.9473684210526315,0.972972972972973,19.0
SRL Diagnostics,1.0,1.0,1.0,13.0
Saanvi,1.0,1.0,1.0,5.0
Saas,1.0,1.0,1.0,1.0
Saavn,1.0,1.0,1.0,16.0
Sachin,1.0,1.0,1.0,4.0
Sagar Ratna,1.0,1.0,1.0,19.0
Salary,1.0,1.0,1.0,14.0
Sangeeta,1.0,1.0,1.0,5.0
Sanjay,1.0,1.0,1.0,5.0
Saraswati,1.0,1.0,1.0,5.0
Saravana Bhavan,1.0,1.0,1.0,21.0
Sarita,1.0,1.0,1.0,6.0
Sarovar,1.0,1.0,1.0,19.0
Sas,1.0,1.0,1.0,5.0
Sasu Maa,1.0,1.0,1.0,5.0
Sasur,1.0,1.0,1.0,6.0
Savaari,1.0,1.0,1.0,17.0
Savitri,1.0,1.0,1.0,6.0
Scaler,1.0,1.0,1.0,16.0
Self,0.9333333333333333,1.0,0.9655172413793104,28.0
Shalini,1.0,1.0,1.0,5.0
Shell,1.0,1.0,1.0,15.0
Shemaroo,1.0,1.0,1.0,14.0
Shiv,1.0,1.0,1.0,4.0
Shiva,1.0,1.0,1.0,4.0
Shobha,1.0,1.0,1.0,4.0
ShopClues,1.0,1.0,1.0,18.0
Shoppers Stop,1.0,1.0,1.0,23.0
Shriram Finance,1.0,1.0,1.0,15.0
Shuttl,1.0,1.0,1.0,21.0
Siddharth,1.0,1.0,1.0,5.0
Simplilearn,1.0,1.0,1.0,16.0
Sir Ganga Ram,1.0,1.0,1.0,18.0
Sis,0.0,0.0,0.0,1.0
Sister,1.0,1.0,1.0,5.0
Sister in Law,1.0,1.0,1.0,5.0
Sita,1.0,1.0,1.0,5.0
Sleepwell,1.0,1.0,1.0,22.0
Smokin Joes,1.0,1.0,1.0,16.0
Snapdeal,1.0,1.0,1.0,20.0
Sneha,1.0,0.8,0.8888888888888888,5.0
Soch,1.0,1.0,1.0,17.0
Social,1.0,1.0,1.0,14.0
Son,1.0,1.0,1.0,6.0
SonyLIV,1.0,1.0,1.0,35.0
SoundCloud,1.0,1.0,1.0,16.0
Spencers,1.0,1.0,1.0,19.0
Sponsorship,1.0,1.0,1.0,18.0
Spotify,1.0,1.0,1.0,35.0
Spotify Premium,1.0,1.0,1.0,17.0
Spouse,1.0,1.0,1.0,4.0
SpringHill,1.0,1.0,1.0,14.0
Springfit,1.0,1.0,1.0,17.0
St Johns,1.0,1.0,1.0,17.0
Stanza Living,1.0,1.0,1.0,15.0
Star Bazaar,1.0,1.0,1.0,15.0
Star Quick,1.0,1.0,1.0,19.0
Starbucks,1.0,1.0,1.0,15.0
Steve Madden,1.0,1.0,1.0,22.0
Subhash,1.0,1.0,1.0,5.0
Subway,1.0,1.0,1.0,15.0
Sunil,1.0,1.0,1.0,3.0
Sunita,1.0,1.0,1.0,6.0
